Region,BUSINESS,CONFERENCE,CORPORATE MEETING,EDUCATION,EXHIBITION,GOLFING,HEALTH TREATMENT,HOLIDAY,HONEYMOON,INCENTIVE TRAVEL,OFFICIAL MISSION,OTHERS,RELIGIOUS PURPOSE,SHOPPING,SPORTS,VFR,VISA RUN,
AFRICA,0.9,0.9,0,0,0,0,0,71.84,0,0,0,4.91,0,0,18.84,1.3,1.31,
AMERICAS,2.7,0.27,0.43,0,0,0,0.03,84.67,0.1,0,0,3.23,0.03,0,0.73,6.81,1,
ASEAN,1.33,0.43,0.63,0.75,0.57,0.03,0.07,69.02,0.12,0.5,0.13,1.03,1.23,10.18,1.9,12.03,0.05,
CENTRAL ASIA,2.9,0,0,0,0,0,1.3,83.1,0.6,0,0,6.1,0,0,5.4,0.6,0,
EAST ASIA,5.3,0.48,0.16,0.08,0,0.18,0.12,79.34,0.3,0.92,0.04,1,0.04,5.32,0.78,5.24,0.7,
EUROPE,1.58,0.17,0.08,0.43,0.06,0,0,84.77,0.27,0.08,0.07,6.36,0,0.02,2.04,3.43,0.64,
OCEANIA,2.1,0.35,0.1,0.05,0,0,0.15,83.12,0.15,0,0.05,9.62,0,0,0.4,3.56,0.35,
OTHERS,2.6,0.2,0.7,1.2,0.4,0,0.2,73.3,10.2,0.9,0.1,4.2,0.5,0.4,1.9,3.1,0.1,
SOUTH ASIA,2.7,0.15,0,2.65,0.35,0,0,67.58,2.75,1.6,0,8.3,9.1,0,0,4.82,0,
WEST ASIA,1.02,0.02,0.03,1.2,0.02,0,0.1,78.61,9.33,0.35,0,2.23,0.02,0.85,2.97,3.25,0,
