States,Capital City,Lat,Lon
Johor,Johor Bahru,1.4975,103.6163
Kedah,Alor Setar,6.2,100.34
Kelantan,Kota Bharu,6.0591,102.3305
Melaka,Central Melaka,2.2817,102.1684
Negeri Sembilan,Seremban,2.685917,101.905904
Pahang,Kuantan,3.8688,103.168
Penang,George Town,5.4406,100.2549
Perak,Ipoh,4.620562,101.067403
Perlis,Kangar,6.462,100.1685
Sabah,Kota Kinabalu,5.9587,116.0825
Sarawak,Kuching,1.4576,110.3009
Selangor,Klang,3.0426,101.4208
Terengganu,Kuala Terengganu,5.4065,103.0342
Kuala Lumpur,Kuala Lumpur,3.183,101.6755
Labuan,Labuan,5.274553,115.175246
Putrajaya,Putrajaya,2.9083,101.6787
