Year,State,Country,Percentage,Latitude ,Longitude
2016,PUTRAJAYA,AUSTRALIA,7.7,-24.776109,134.755
2016,PENANG,AUSTRALIA,8.9,-24.776109,134.755
2016,PERAK,AUSTRALIA,4.4,-24.776109,134.755
2016,NEGERI SEMBILAN,AUSTRALIA,1.5,-24.776109,134.755
2016,MELAKA,AUSTRALIA,3.7,-24.776109,134.755
2016,JOHOR,AUSTRALIA,1.8,-24.776109,134.755
2016,PAHANG,AUSTRALIA,24.4,-24.776109,134.755
2016,TERENGGANU,AUSTRALIA,1.5,-24.776109,134.755
2016,KELANTAN,AUSTRALIA,3,-24.776109,134.755
2016,SARAWAK,AUSTRALIA,2.2,-24.776109,134.755
2016,SABAH,AUSTRALIA,61.3,-24.776109,134.755
2016,LABUAN,AUSTRALIA,3,-24.776109,134.755
2017,PUTRAJAYA,AUSTRALIA,0,-24.776109,134.755
2017,PENANG,AUSTRALIA,6.2,-24.776109,134.755
2017,PERAK,AUSTRALIA,8.2,-24.776109,134.755
2017,NEGERI SEMBILAN,AUSTRALIA,0,-24.776109,134.755
2017,MELAKA,AUSTRALIA,23.6,-24.776109,134.755
2017,JOHOR,AUSTRALIA,47.8,-24.776109,134.755
2017,PAHANG,AUSTRALIA,4.7,-24.776109,134.755
2017,TERENGGANU,AUSTRALIA,9.3,-24.776109,134.755
2017,KELANTAN,AUSTRALIA,0,-24.776109,134.755
2017,SARAWAK,AUSTRALIA,11.8,-24.776109,134.755
2017,SABAH,AUSTRALIA,1.6,-24.776109,134.755
2017,LABUAN,AUSTRALIA,8.7,-24.776109,134.755
2018,PUTRAJAYA,AUSTRALIA,0.9,-24.776109,134.755
2018,PENANG,AUSTRALIA,3.3,-24.776109,134.755
2018,PERAK,AUSTRALIA,1.3,-24.776109,134.755
2018,NEGERI SEMBILAN,AUSTRALIA,1.6,-24.776109,134.755
2018,MELAKA,AUSTRALIA,22.2,-24.776109,134.755
2018,JOHOR,AUSTRALIA,82.1,-24.776109,134.755
2018,PAHANG,AUSTRALIA,1.1,-24.776109,134.755
2018,TERENGGANU,AUSTRALIA,0.2,-24.776109,134.755
2018,KELANTAN,AUSTRALIA,0,-24.776109,134.755
2018,SARAWAK,AUSTRALIA,2,-24.776109,134.755
2018,SABAH,AUSTRALIA,0.4,-24.776109,134.755
2018,LABUAN,AUSTRALIA,0,-24.776109,134.755
2019,KUALA LUMPUR,AUSTRALIA,76.1,-24.776109,134.755
2019,PUTRAJAYA,AUSTRALIA,4.8,-24.776109,134.755
2019,PERLIS,AUSTRALIA,0.2,-24.776109,134.755
2019,KEDAH,AUSTRALIA,16.3,-24.776109,134.755
2019,PENANG,AUSTRALIA,31.9,-24.776109,134.755
2019,PERAK,AUSTRALIA,2.6,-24.776109,134.755
2019,SELANGOR,AUSTRALIA,33.1,-24.776109,134.755
2019,NEGERI SEMBILAN,AUSTRALIA,0.7,-24.776109,134.755
2019,MELAKA,AUSTRALIA,12.6,-24.776109,134.755
2019,JOHOR,AUSTRALIA,3.1,-24.776109,134.755
2019,PAHANG,AUSTRALIA,8.3,-24.776109,134.755
2019,TERENGGANU,AUSTRALIA,3,-24.776109,134.755
2019,KELANTAN,AUSTRALIA,0.1,-24.776109,134.755
2019,SARAWAK,AUSTRALIA,6.9,-24.776109,134.755
2019,SABAH,AUSTRALIA,14,-24.776109,134.755
2019,LABUAN,AUSTRALIA,0,-24.776109,134.755
2016,KUALA LUMPUR,AUSTRALIA,37.8,-24.776109,134.755
2017,KUALA LUMPUR,AUSTRALIA,10.65,-24.776109,134.755
2018,KUALA LUMPUR,AUSTRALIA,42.55,-24.776109,134.755
2016,SELANGOR,AUSTRALIA,37.8,-24.776109,134.755
2017,SELANGOR,AUSTRALIA,10.65,-24.776109,134.755
2018,SELANGOR,AUSTRALIA,42.55,-24.776109,134.755
2016,KEDAH,AUSTRALIA,2.4,-24.776109,134.755
2017,KEDAH,AUSTRALIA,1.15,-24.776109,134.755
2018,KEDAH,AUSTRALIA,6.6,-24.776109,134.755
2016,PERLIS,AUSTRALIA,2.4,-24.776109,134.755
2017,PERLIS,AUSTRALIA,1.15,-24.776109,134.755
2018,PERLIS,AUSTRALIA,6.6,-24.776109,134.755
